id,additional_info,studioNumber,display_name,social_label,social_url,art_type,image,thumbs
a035,Courtney Adkins,644,Botanica Fina Therapeutics,Botanica Fina,,homegrown organic and wild foraged tea and spice blends,/assets/artists/a035.webp,/assets/artists/thumbs/a035.jpg
a036,"Jen Hayden, Debbie Jensen & Tim Reynolds",651,803 Watch Co,"@jenbhayden
@803WatchCo",,"Jen: painter/pastels
Debbie: painter/fiber artist 
Tim: Watch builder/photographer ",/assets/artists/a036.webp,/assets/artists/thumbs/a036.jpg
a037,Karen Hessing & Andrew Sellier,705,Studio 705,Website: https://someartwemade.com/ ,,Media/Product: Fine Art,/assets/artists/a037.webp,/assets/artists/thumbs/a037.jpg
a038,Kelly Conner & Louise Partain,726,Alloy: A Metalsmithing Community,"www.alloymetalsmithing.com
Instagram: @alloy_metalsmithing
Facebook: AlloyMetalsmithing",,"Community, Membership, Workshops, and Lessons for Metalsmiths and Jewelers",/assets/artists/a038.webp,/assets/artists/thumbs/a038.jpg
a039,Tim Sella,731,Tim Sella Art,https://www.instagram.com/timsellart/,,need description,/assets/artists/a039.webp,/assets/artists/thumbs/a039.jpg
a040,Justin Gainan,738,Justin Gainan Studio,"https://www.instagram.com/jgain/?hl=en, https://justingainan.com/, Justin Gainan Studio",,Visual artis: drawing + other,/assets/artists/a040.webp,/assets/artists/thumbs/a040.jpg
a041,Marcy Lally,748,"Marcy Lally Art 
","marcylally.com
instagram.com/marcylallyart",,"Sculptural ceramics, original mixed media 3D art, archival mono prints.",/assets/artists/a041.webp,/assets/artists/thumbs/a041.jpg
a042,New Material Books - Hannah Risinger and Brandan Griffin,750,New Material Books,"https://www.instagram.com/newmaterialbooks/, https://www.instagram.com/newmaterialbooks/, newmaterialbooks.com",,"Independent bookstore, poetry readings + workshops",/assets/artists/a042.webp,/assets/artists/thumbs/a042.jpg
a043,Andrea Cira,755,Andrea Cira Studio,"https://www.acirastudio.com/, https://www.instagram.com/acirastudio/, https://www.tiktok.com/@acirastudio",,Paper Artist,/assets/artists/a043.webp,/assets/artists/thumbs/a043.jpg
a044,Kaitlin Keselis,808,Saint Rose,dummy url,,"Massage Therapy, Permanent Makeup, Full Body Waxing and Brow Lamination and Tinting",/assets/artists/a044.webp,/assets/artists/thumbs/a044.jpg
